pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
Cual es la capital de Japon,Beijing,Seul,Tokio,Osaka,3
Quien pinto La ultima cena,Picasso,Da Vinci,Van Gogh,Rembrandt,2
Cual es el rio mas largo del mundo,Amazonas,Nilo,Misisipi,Yangtse,1
En que continente esta Egipto,America,Asia,Africa,Europa,3
Cual es el oceano mas grande,Atlantico,Indico,Artico,Pacifico,4
Quien escribio Don Quijote,Cervantes,Lorca,Shakespeare,Borges,1
Cual es el planeta mas grande,Marte,Tierra,Jupiter,Saturno,3
Cuantos lados tiene un hexagono,5,6,7,8,2
Donde se encuentran las piramides de Giza,Peru,Mexico,Egypto,India,3
Quien descubrio America,Colon,Magallanes,Da Gama,Pizarro,1
Cual es el metal mas ligero,Hierro,Cobre,Aluminio,Litio,4
Cual es el idioma mas hablado,Espanol,Ingles,Chino,Arabe,3
Que gas respiramos,Hidrogeno,Oxigeno,Helio,Carbono,2
Cuantos minutos tiene una hora,30,45,60,90,3
Donde esta la Torre Eiffel,Roma,Madrid,Londres,Paris,4
Quien fue el primer hombre en la Luna,Armstrong,Aldrin,Collins,Gagarin,1
Cuantos colores tiene el arcoiris,5,6,7,8,3
Cual es el animal mas rapido,Leon,Guepardo,Aguila,Tigre,2
Que pais tiene forma de bota,Espana,Portugal,Italia,Grecia,3
Que instrumento tiene teclas blancas y negras,Guitarra,Violin,Piano,Flauta,3
Donde esta la muralla china,India,Japon,China,Corea,3
Cual es el simbolo quimico del agua,HO,H2,H2O,O2,3
En que pais esta la Estatua de la Libertad,Francia,Inglaterra,Estados Unidos,Italia,3
Cuantas patas tiene una arana,6,8,10,12,2
Donde nacio el tango,Mexico,Cuba,Argentina,Chile,3
Cual es el pais mas grande,China,Rusia,Canada,Brasil,2
Quien escribio Hamlet,Cervantes,Tolkien,Shakespeare,Dante,3
Que dia se celebra Navidad,24 de diciembre,31 de diciembre,6 de enero,25 de diciembre,4
Cual es el color del semaforo que indica detenerse,Verde,Amarillo,Rojo,Azul,3
Cuantas horas tiene un dia,12,24,36,48,2